ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
116,81.11888112,6.013333333,4.205128205,FBtr0306540,20.68276893,11.51114072,1.796761019
139,75.50244432,13.72,7.452471483,FBtr0078101,19.2507538,20.40043579,0.943644244
123,84.36213992,10.08,6.913580247,FBtr0302164,21.50969814,18.925272,1.136559524
123,80.078125,12.77333333,8.315972222,FBtr0331680,20.41740878,22.76418739,0.896909186
120,70.83825266,4.48,2.644628099,FBtr0301733,18.06153131,7.239419278,2.49488676
0,0,0,0,FBtr0306541,0,0,
5,2.247191011,7.12,3.2,FBtr0290323,0.572963184,8.759697326,0.065409016
5,3.008423586,7,4.21179302,FBtr0330637,0.767053601,11.52938502,0.066530314
165,25.47869055,2,0.308832613,FBtr0078103,6.496266491,0.845400066,7.684251221
192,157.2481572,16.16,13.23505324,FBtr0330636,40.09334517,36.22970638,1.10664284
236,149.0840177,16.16,10.20846494,FBtr0078104,38.0117458,27.9447072,1.360248491
69,27.04821639,273.9189041,107.3770694,FBtr0301452,6.896446322,293.9345712,0.023462522
542,227.0632593,17,7.121910348,FBtr0089437,57.89400519,19.49555595,2.969600115
167,173.7773153,3,3.121748179,FBtr0308091,44.30776174,8.545490367,5.184929107
546,250,17,7.783882784,FBtr0089428,63.74215423,21.30764288,2.991515983
542,236.3715656,17,7.413868295,FBtr0089429,60.26733117,20.29476321,2.969600115
492,214.0992167,16,6.962576153,FBtr0330656,54.58858117,19.05939366,2.864130001
558,244.4152431,18,7.884362681,FBtr0089432,62.31821649,21.58269709,2.88741561
547,229.8319328,18,7.56302521,FBtr0089430,58.59993003,20.70306616,2.830495231
501,210.5042017,17,7.142857143,FBtr0089431,53.67196516,19.55289582,2.744962468
552,234.5941351,17,7.22481938,FBtr0089433,59.81414218,19.77725969,3.024389785
505,218.709398,16,6.92940667,FBtr0089435,55.76403272,18.96859534,2.939808232
554,228.0773981,18,7.410456978,FBtr0089434,58.15257875,20.28542505,2.866717291
426,216.1339422,13.41333333,6.805344157,FBtr0089436,55.10737231,18.62898594,2.958152015
188,320.8191126,2.866666667,4.891922639,FBtr0330639,81.79880543,13.39117552,6.108411119
219,333.3333333,2.866666667,4.363267377,FBtr0306542,84.98953898,11.94403174,7.115649122
220,324.4837758,2.934463277,4.328116927,FBtr0330638,82.73317954,11.84781071,6.982993023
0,0,0,0,FBtr0336838,0,0,
0,0,0,0,FBtr0078160,0,0,
12,4.365223718,4.24,1.542379047,FBtr0100307,1.112995054,4.222116754,0.263610677
12,4.884004884,4.24,1.725681726,FBtr0330646,1.24526797,4.723890499,0.263610677
12,4.620716211,4.24,1.632653061,FBtr0100309,1.178137622,4.46923333,0.263610677
